seryl-tRNA synthetase	serS	YES	TIGR00414 (HMM): serine--tRNA ligase	
SmpB protein	smpB	YES	TIGR00086 (HMM): SsrA-binding protein	
threonyl-tRNA synthetase	thrS	YES	TIGR00418 (HMM): threonine--tRNA ligase	
trigger factor	tig	YES	TIGR00115 (HMM): trigger factor	
tRNA(Ile)-lysidine synthetase	tilS	YES	TIGR02432 (HMM): tRNA(Ile)-lysidine synthetase	
tRNA threonylcarbamoyladenosine modification protein TsaD	tsaD	YES	TIGR03723 (HMM): tRNA threonylcarbamoyl adenosine modification protein TsaD	
translation elongation factor Ts	tsf	YES	TIGR00116 (HMM): translation elongation factor Ts	
tyrosyl-tRNA synthetase	tyrS	YES	TIGR00234 (HMM): tyrosine--tRNA ligase	
excinuclease ABC, B subunit	uvrB	YES	TIGR00631 (HMM): excinuclease ABC subunit B	
valyl-tRNA synthetase	valS	YES	TIGR00422 (HMM): valine--tRNA ligase	
16S rRNA maturation RNase YgeY	ybeY	YES	TIGR00043 (HMM): rRNA maturation RNase YbeY	
GTP-binding protein YchF	ychF	YES	TIGR00092 (HMM): GTP-binding protein YchF
